"site","date","pm2.5"
"richmond","06/12/1996",5.3
"chullora","06/12/1996",NA
"liverpool","07/12/1996",NA
"chullora","07/12/1996",NA
"earlwood","07/12/1996",3.9
"richmond","07/12/1996",2.2
"richmond","08/12/1996",2.4
"chullora","08/12/1996",NA
"earlwood","08/12/1996",3.2
"liverpool","08/12/1996",NA
"liverpool","09/12/1996",NA
"richmond","09/12/1996",2.7
"chullora","09/12/1996",NA
"earlwood","09/12/1996",4.4
"earlwood","10/12/1996",4.7
"chullora","10/12/1996",NA
"richmond","10/12/1996",5.4
"liverpool","10/12/1996",NA
"earlwood","11/12/1996",4.8
"liverpool","11/12/1996",NA
"chullora","11/12/1996",NA
"richmond","11/12/1996",5
"richmond","12/12/1996",4
"chullora","12/12/1996",NA
"earlwood","12/12/1996",5.2
"liverpool","12/12/1996",NA
"chullora","13/12/1996",NA
"earlwood","13/12/1996",3.1
"richmond","13/12/1996",1.9
"liverpool","13/12/1996",NA
"richmond","14/12/1996",2.3
"chullora","14/12/1996",NA
"liverpool","14/12/1996",NA
"earlwood","14/12/1996",1.9
